month,cpi_all_items_index_2002_100,cpi_inflation_yoy_percent,unemployment_rate_percent,new_housing_price_index_canada_201612_100,new_housing_price_index_canada_yoy_percent,new_housing_price_index_toronto_201612_100,new_housing_price_index_toronto_yoy_percent,cmhc_5yr_conventional_mortgage_rate_percent,boc_policy_rate_monthly_average_percent,boc_policy_rate_month_end_percent,income_reference_year,median_after_tax_income_cad_annual
1981-01,46.9,12.201,7.4,38.2,,28.0,,15.17,,,1981,64700.0
1981-02,47.4,12.0567,7.4,38.7,,28.5,,15.27,,,1981,64700.0
1981-03,48.0,12.6761,7.4,39.3,,29.8,,15.75,,,1981,64700.0
1981-04,48.3,12.5874,7.1,39.9,,31.2,,16.45,,,1981,64700.0
1981-05,48.7,12.212,7.2,40.6,,32.3,,17.82,,,1981,64700.0
1981-06,49.5,12.7563,7.2,40.8,,32.3,,18.55,,,1981,64700.0
1981-07,49.9,12.8959,7.2,40.8,,32.2,,18.9,,,1981,64700.0
1981-08,50.3,12.528,7.1,40.6,,32.5,,21.3,,,1981,64700.0
1981-09,50.7,12.6667,8.1,40.4,,32.6,,21.46,,,1981,64700.0
1981-10,51.2,12.7753,8.3,40.3,,32.5,,20.54,,,1981,64700.0
1981-11,51.6,12.1739,8.3,40.2,,32.5,,18.8,,,1981,64700.0
1981-12,51.8,12.1212,8.7,40.3,,32.5,,17.79,,,1981,64700.0
1982-01,52.2,11.3006,8.6,40.3,5.4974,32.7,16.7857,18.21,,,1982,62700.0
1982-02,52.8,11.3924,8.9,40.3,4.1344,32.4,13.6842,18.97,,,1982,62700.0
1982-03,53.5,11.4583,9.3,40.1,2.0356,32.4,8.7248,19.41,,,1982,62700.0
1982-04,53.8,11.3872,9.8,39.9,0.0,32.4,3.8462,19.28,,,1982,62700.0
1982-05,54.5,11.9097,10.3,39.6,-2.4631,32.3,0.0,19.11,,,1982,62700.0
1982-06,55.1,11.3131,11.1,39.3,-3.6765,32.1,-0.6192,19.1,,,1982,62700.0
1982-07,55.4,11.022,11.9,39.0,-4.4118,32.1,-0.3106,19.22,,,1982,62700.0
1982-08,55.6,10.5368,12.0,38.8,-4.4335,31.6,-2.7692,18.72,,,1982,62700.0
1982-09,55.9,10.2564,12.4,38.4,-4.9505,31.5,-3.3742,17.49,,,1982,62700.0
1982-10,56.3,9.9609,12.9,38.3,-4.9628,31.1,-4.3077,16.02,,,1982,62700.0
1982-11,56.6,9.6899,12.9,38.0,-5.4726,30.9,-4.9231,14.79,,,1982,62700.0
1982-12,56.6,9.2664,13.1,37.9,-5.9553,30.7,-5.5385,14.34,,,1982,62700.0
