month,cpi_all_items_index_2002_100,cpi_inflation_yoy_percent
1914-01,6.0,
1914-02,6.0,
1914-03,6.0,
1914-04,6.0,
1914-05,5.9,
1914-06,6.0,
1914-07,5.9,
1914-08,6.0,
1914-09,6.0,
1914-10,6.1,
1914-11,6.1,
1914-12,6.1,
1915-01,6.1,1.6667
1915-02,6.1,1.6667
1915-03,6.1,1.6667
1915-04,6.1,1.6667
1915-05,6.1,3.3898
1915-06,6.1,1.6667
1915-07,6.1,3.3898
1915-08,6.1,1.6667
1915-09,6.1,1.6667
1915-10,6.1,0.0
1915-11,6.3,3.2787
1915-12,6.3,3.2787
1916-01,6.4,4.918
1916-02,6.5,6.5574
1916-03,6.5,6.5574
1916-04,6.5,6.5574
1916-05,6.5,6.5574
1916-06,6.6,8.1967
1916-07,6.6,8.1967
1916-08,6.6,8.1967
1916-09,6.8,11.4754
1916-10,6.9,13.1148
1916-11,7.1,12.6984
1916-12,7.2,14.2857
1917-01,7.4,15.625
1917-02,7.4,13.8462
1917-03,7.6,16.9231
1917-04,7.6,16.9231
1917-05,7.9,21.5385
1917-06,8.0,21.2121
1917-07,8.0,21.2121
1917-08,8.0,21.2121
1917-09,8.0,17.6471
1917-10,8.2,18.8406
1917-11,8.2,15.493
1917-12,8.3,15.2778
1918-01,8.4,13.5135
1918-02,8.5,14.8649
1918-03,8.6,13.1579
1918-04,8.6,13.1579
1918-05,8.7,10.1266
1918-06,8.8,10.0
1918-07,8.9,11.25
1918-08,9.2,15.0
1918-09,9.2,15.0
1918-10,9.3,13.4146
1918-11,9.4,14.6341
1918-12,9.4,13.253
1919-01,9.5,13.0952
1919-02,9.4,10.5882
1919-03,9.4,9.3023
1919-04,9.4,9.3023
1919-05,9.7,11.4943
1919-06,9.7,10.2273
1919-07,9.8,10.1124
1919-08,10.0,8.6957
1919-09,10.0,8.6957
1919-10,10.0,7.5269
1919-11,10.1,7.4468
1919-12,10.2,8.5106
1920-01,10.6,11.5789
1920-02,10.8,14.8936
1920-03,11.2,19.1489
1920-04,11.3,20.2128
1920-05,11.6,19.5876
1920-06,11.8,21.6495
1920-07,11.8,20.4082
1920-08,11.7,17.0
1920-09,11.5,15.0
1920-10,11.5,15.0
1920-11,11.3,11.8812
1920-12,11.2,9.8039
1921-01,11.0,3.7736
1921-02,10.8,0.0
1921-03,10.5,-6.25
1921-04,10.2,-9.7345
1921-05,10.0,-13.7931
1921-06,9.7,-17.7966
1921-07,9.7,-17.7966
1921-08,9.7,-17.094
1921-09,9.7,-15.6522
1921-10,9.7,-15.6522
1921-11,9.4,-16.8142
1921-12,9.4,-16.0714
1922-01,9.4,-14.5455
1922-02,9.3,-13.8889
1922-03,9.2,-12.381
1922-04,9.2,-9.8039
1922-05,9.1,-9.0
1922-06,9.1,-6.1856
1922-07,9.1,-6.1856
1922-08,9.2,-5.1546
1922-09,9.2,-5.1546
1922-10,9.2,-5.1546
1922-11,9.2,-2.1277
1922-12,9.2,-2.1277
1923-01,9.2,-2.1277
1923-02,9.2,-1.0753
1923-03,9.3,1.087
1923-04,9.2,0.0
1923-05,9.2,1.0989
1923-06,9.2,1.0989
1923-07,9.1,0.0
1923-08,9.2,0.0
1923-09,9.2,0.0
1923-10,9.2,0.0
1923-11,9.2,0.0
1923-12,9.2,0.0
1924-01,9.2,0.0
1924-02,9.2,0.0
1924-03,9.2,-1.0753
1924-04,9.0,-2.1739
1924-05,8.9,-3.2609
1924-06,8.8,-4.3478
1924-07,8.8,-3.2967
1924-08,9.0,-2.1739
1924-09,9.0,-2.1739
1924-10,9.0,-2.1739
1924-11,9.1,-1.087
1924-12,9.1,-1.087
1925-01,9.2,0.0
