month,date,income_reference_year,median_after_tax_income_cad_annual,monthly_income_cad,proxy_home_price_canada_cad,proxy_home_price_toronto_cad,proxy_mortgage_principal_canada_cad,cmhc_5yr_conventional_mortgage_rate_percent,monthly_mortgage_payment_canada_cad,payment_to_income_percent,price_to_income_ratio_canada,risk_level,monthly_payment_minus_0_5pp_cad,monthly_payment_change_minus_0_5pp_cad,payment_to_income_minus_0_5pp_percent,monthly_payment_plus_0_5pp_cad,monthly_payment_change_plus_0_5pp_cad,payment_to_income_plus_0_5pp_percent,monthly_payment_plus_1_0pp_cad,monthly_payment_change_plus_1_0pp_cad,payment_to_income_plus_1_0pp_percent,monthly_payment_plus_2_0pp_cad,monthly_payment_change_plus_2_0pp_cad,payment_to_income_plus_2_0pp_percent,risk_level_plus_2_0pp,cpi_inflation_yoy_percent,unemployment_rate_percent,new_housing_price_index_canada_201612_100,new_housing_price_index_canada_yoy_percent,new_housing_price_index_toronto_201612_100,new_housing_price_index_toronto_yoy_percent,boc_policy_rate_monthly_average_percent
1981-01,1981-01-01,1981,64700.0,5391.67,267400.0,196000.0,213920.0,15.17,2768.2,51.34,4.13,High Risk,2685.3,-82.9,49.8,2851.62,83.42,52.89,2935.51,167.31,54.45,3104.59,336.39,57.58,High Risk,12.201,7.4,38.2,,28.0,,
1981-02,1981-02-01,1981,64700.0,5391.67,270900.0,199500.0,216720.0,15.27,2821.29,52.33,4.19,High Risk,2737.2,-84.09,50.77,2905.9,84.61,53.9,2990.99,169.7,55.47,3162.45,341.16,58.65,High Risk,12.0567,7.4,38.7,,28.5,,
1981-03,1981-03-01,1981,64700.0,5391.67,275100.0,208600.0,220080.0,15.75,2947.51,54.67,4.25,High Risk,2861.61,-85.9,53.07,3033.89,86.38,56.27,3120.73,173.22,57.88,3295.61,348.1,61.12,High Risk,12.6761,7.4,39.3,,29.8,,
1981-04,1981-04-01,1981,64700.0,5391.67,279300.0,218400.0,223440.0,16.45,3115.42,57.78,4.32,High Risk,3027.53,-87.89,56.15,3203.76,88.34,59.42,3292.5,177.08,61.07,3471.08,355.66,64.38,High Risk,12.5874,7.1,39.9,,31.2,,
1981-05,1981-05-01,1981,64700.0,5391.67,284200.0,226100.0,227360.0,17.82,3417.33,63.38,4.39,High Risk,3326.74,-90.59,61.7,3508.27,90.94,65.07,3599.55,182.22,66.76,3782.99,365.66,70.16,High Risk,12.212,7.2,40.6,,32.3,,
1981-06,1981-06-01,1981,64700.0,5391.67,285600.0,226100.0,228480.0,18.55,3567.71,66.17,4.41,High Risk,3476.16,-91.55,64.47,3659.58,91.87,67.87,3751.75,184.04,69.58,3936.87,369.16,73.02,High Risk,12.7563,7.2,40.8,,32.3,,
1981-07,1981-07-01,1981,64700.0,5391.67,285600.0,225400.0,228480.0,18.9,3631.99,67.36,4.41,High Risk,3540.21,-91.78,65.66,3724.07,92.08,69.07,3816.42,184.43,70.78,4001.88,369.89,74.22,High Risk,12.8959,7.2,40.8,,32.2,,
1981-08,1981-08-01,1981,64700.0,5391.67,284200.0,227500.0,227360.0,21.3,4056.33,75.23,4.39,High Risk,3963.77,-92.56,73.52,4149.09,92.76,76.95,4242.03,185.7,78.68,4428.4,372.07,82.13,High Risk,12.528,7.1,40.6,,32.5,,
1981-09,1981-09-01,1981,64700.0,5391.67,282800.0,228200.0,226240.0,21.46,4065.87,75.41,4.37,High Risk,3973.69,-92.18,73.7,4158.23,92.36,77.12,4250.77,184.9,78.84,4436.31,370.44,82.28,High Risk,12.6667,8.1,40.4,,32.6,,
1981-10,1981-10-01,1981,64700.0,5391.67,282100.0,227500.0,225680.0,20.54,3886.79,72.09,4.36,High Risk,3795.24,-91.55,70.39,3978.56,91.77,73.79,4070.53,183.74,75.5,4255.03,368.24,78.92,High Risk,12.7753,8.3,40.3,,32.5,,
1981-11,1981-11-01,1981,64700.0,5391.67,281400.0,227500.0,225120.0,18.8,3560.47,66.04,4.35,High Risk,3470.1,-90.37,64.36,3651.13,90.66,67.72,3742.08,181.61,69.4,3924.72,364.25,72.79,High Risk,12.1739,8.3,40.2,,32.5,,
1981-12,1981-12-01,1981,64700.0,5391.67,282100.0,227500.0,225680.0,17.79,3386.67,62.81,4.36,High Risk,3296.78,-89.89,61.15,3476.92,90.25,64.49,3567.51,180.84,66.17,3749.56,362.89,69.54,High Risk,12.1212,8.7,40.3,,32.5,,
1982-01,1982-01-01,1982,62700.0,5225.0,282100.0,228900.0,225680.0,18.21,3462.46,66.27,4.5,High Risk,3372.26,-90.2,64.54,3552.99,90.53,68.0,3643.83,181.37,69.74,3826.34,363.88,73.23,High Risk,11.3006,8.6,40.3,5.4974,32.7,16.7857,
1982-02,1982-02-01,1982,62700.0,5225.0,282100.0,226800.0,225680.0,18.97,3600.19,68.9,4.5,High Risk,3509.5,-90.69,67.17,3691.18,90.99,70.64,3782.45,182.26,72.39,3965.7,365.51,75.9,High Risk,11.3924,8.9,40.3,4.1344,32.4,13.6842,
1982-03,1982-03-01,1982,62700.0,5225.0,280700.0,226800.0,224560.0,19.41,3661.99,70.09,4.48,High Risk,3571.48,-90.51,68.35,3752.76,90.77,71.82,3843.79,181.8,73.57,4026.52,364.53,77.06,High Risk,11.4583,9.3,40.1,2.0356,32.4,8.7248,
1982-04,1982-04-01,1982,62700.0,5225.0,279300.0,226800.0,223440.0,19.28,3620.28,69.29,4.45,High Risk,3530.3,-89.98,67.57,3710.54,90.26,71.02,3801.05,180.77,72.75,3982.75,362.47,76.22,High Risk,11.3872,9.8,39.9,0.0,32.4,3.8462,
1982-05,1982-05-01,1982,62700.0,5225.0,277200.0,226100.0,221760.0,19.11,3562.67,68.19,4.42,High Risk,3473.46,-89.21,66.48,3652.15,89.48,69.9,3741.9,179.23,71.62,3922.09,359.42,75.06,High Risk,11.9097,10.3,39.6,-2.4631,32.3,0.0,
1982-06,1982-06-01,1982,62700.0,5225.0,275100.0,224700.0,220080.0,19.1,3533.9,67.63,4.39,High Risk,3445.38,-88.52,65.94,3622.71,88.81,69.33,3711.77,177.87,71.04,3890.59,356.69,74.46,High Risk,11.3131,11.1,39.3,-3.6765,32.1,-0.6192,
1982-07,1982-07-01,1982,62700.0,5225.0,273000.0,224700.0,218400.0,19.22,3528.05,67.52,4.35,High Risk,3440.14,-87.91,65.84,3616.24,88.19,69.21,3704.68,176.63,70.9,3882.24,354.19,74.3,High Risk,11.022,11.9,39.0,-4.4118,32.1,-0.3106,
1982-08,1982-08-01,1982,62700.0,5225.0,271600.0,221200.0,217280.0,18.72,3422.49,65.5,4.33,High Risk,3335.33,-87.16,63.83,3509.96,87.47,67.18,3597.7,175.21,68.86,3773.9,351.41,72.23,High Risk,10.5368,12.0,38.8,-4.4335,31.6,-2.7692,
1982-09,1982-09-01,1982,62700.0,5225.0,268800.0,220500.0,215040.0,17.49,3175.57,60.78,4.29,High Risk,3090.13,-85.44,59.14,3261.36,85.79,62.42,3347.49,171.92,64.07,3520.63,345.06,67.38,High Risk,10.2564,12.4,38.4,-4.9505,31.5,-3.3742,
1982-10,1982-10-01,1982,62700.0,5225.0,268100.0,217700.0,214480.0,16.02,2917.91,55.85,4.28,High Risk,2833.94,-83.97,54.24,3002.34,84.43,57.46,3087.19,169.28,59.08,3258.01,340.1,62.35,High Risk,9.9609,12.9,38.3,-4.9628,31.1,-4.3077,
1982-11,1982-11-01,1982,62700.0,5225.0,266000.0,216300.0,212800.0,14.79,2690.98,51.5,4.24,High Risk,2608.93,-82.05,49.93,2773.58,82.6,53.08,2856.67,165.69,54.67,3024.23,333.25,57.88,High Risk,9.6899,12.9,38.0,-5.4726,30.9,-4.9231,
1982-12,1982-12-01,1982,62700.0,5225.0,265300.0,214900.0,212240.0,14.34,2610.22,49.96,4.23,High Risk,2528.91,-81.31,48.4,2692.11,81.89,51.52,2774.54,164.32,53.1,2940.86,330.64,56.28,High Risk,9.2664,13.1,37.9,-5.9553,30.7,-5.5385,
1983-01,1983-01-01,1983,60300.0,5025.0,265300.0,214900.0,212240.0,14.05,2562.99,51.0,4.4,High Risk,2482.03,-80.96,49.39,2644.55,81.56,52.63,2726.67,163.68,54.26,2892.44,329.45,57.56,High Risk,8.2375,12.7,37.9,-5.9553,30.7,-6.1162,
1983-02,1983-02-01,1983,60300.0,5025.0,265300.0,214200.0,212240.0,13.6,2490.09,49.55,4.4,High Risk,2409.71,-80.38,47.95,2571.12,81.03,51.17,2652.74,162.65,52.79,2817.61,327.52,56.07,High Risk,7.5758,12.7,37.9,-5.9553,30.6,-5.5556,
1983-03,1983-03-01,1983,60300.0,5025.0,264600.0,214200.0,211680.0,13.45,2459.4,48.94,4.39,High Risk,2379.44,-79.96,47.35,2540.03,80.63,50.55,2621.26,161.86,52.16,2785.38,325.98,55.43,High Risk,7.2897,12.5,37.8,-5.7357,30.6,-5.5556,
1983-04,1983-04-01,1983,60300.0,5025.0,264600.0,213500.0,211680.0,13.26,2428.94,48.34,4.39,High Risk,2349.23,-79.71,46.75,2509.31,80.37,49.94,2590.32,161.38,51.55,2754.03,325.09,54.81,High Risk,6.6914,12.4,37.8,-5.2632,30.5,-5.8642,
1983-05,1983-05-01,1983,60300.0,5025.0,263900.0,212800.0,211120.0,13.16,2406.56,47.89,4.38,High Risk,2327.2,-79.36,46.31,2486.59,80.03,49.48,2567.26,160.7,51.09,2730.32,323.76,54.33,High Risk,5.5046,12.4,37.7,-4.798,30.4,-5.8824,
1983-06,1983-06-01,1983,60300.0,5025.0,264600.0,214200.0,211680.0,12.98,2384.21,47.45,4.39,High Risk,2304.9,-79.31,45.87,2464.22,80.01,49.04,2544.88,160.67,50.64,2707.98,323.77,53.89,High Risk,5.4446,12.4,37.8,-3.8168,30.6,-4.6729,
1983-07,1983-07-01,1983,60300.0,5025.0,264600.0,213500.0,211680.0,13.08,2400.16,47.76,4.39,High Risk,2320.71,-79.45,46.18,2480.3,80.14,49.36,2561.09,160.93,50.97,2724.41,324.25,54.22,High Risk,5.4152,11.9,37.8,-3.0769,30.5,-4.9844,
1983-08,1983-08-01,1983,60300.0,5025.0,266000.0,213500.0,212800.0,13.57,2491.81,49.59,4.41,High Risk,2411.26,-80.55,47.99,2573.01,81.2,51.2,2654.81,163.0,52.83,2820.05,328.24,56.12,High Risk,5.5755,11.7,38.0,-2.0619,30.5,-3.481,
1983-09,1983-09-01,1983,60300.0,5025.0,266000.0,213500.0,212800.0,13.88,2542.08,50.59,4.41,High Risk,2461.12,-80.96,48.98,2623.66,81.58,52.21,2705.81,163.73,53.85,2871.68,329.6,57.15,High Risk,5.0089,11.4,38.0,-1.0417,30.5,-3.1746,
1983-10,1983-10-01,1983,60300.0,5025.0,265300.0,213500.0,212240.0,13.1,2409.71,47.95,4.4,High Risk,2330.02,-79.69,46.37,2490.09,80.38,49.55,2571.12,161.41,51.17,2734.91,325.2,54.43,High Risk,4.9734,11.3,37.9,-1.0444,30.5,-1.9293,
1983-11,1983-11-01,1983,60300.0,5025.0,266000.0,213500.0,212800.0,12.84,2374.43,47.25,4.41,High Risk,2294.91,-79.52,45.67,2454.67,80.24,48.85,2535.58,161.15,50.46,2699.22,324.79,53.72,High Risk,4.417,11.3,38.0,0.0,30.5,-1.2945,
1983-12,1983-12-01,1983,60300.0,5025.0,265300.0,213500.0,212240.0,12.55,2322.09,46.21,4.4,High Risk,2243.21,-78.88,44.64,2401.71,79.62,47.8,2482.03,159.94,49.39,2644.55,322.46,52.63,High Risk,4.5936,11.3,37.9,0.0,30.5,-0.6515,
1984-01,1984-01-01,1984,61000.0,5083.33,266000.0,213500.0,212800.0,12.55,2328.22,45.8,4.36,High Risk,2249.13,-79.09,44.25,2408.05,79.83,47.37,2488.57,160.35,48.96,2651.53,323.31,52.16,High Risk,5.4867,11.3,38.0,0.2639,30.5,-0.6515,
1984-02,1984-02-01,1984,61000.0,5083.33,266000.0,213500.0,212800.0,12.52,2323.45,45.71,4.36,High Risk,2244.41,-79.04,44.15,2403.24,79.79,47.28,2483.72,160.27,48.86,2646.6,323.15,52.06,High Risk,5.4577,11.3,38.0,0.2639,30.5,-0.3268,
1984-03,1984-03-01,1984,61000.0,5083.33,266700.0,214200.0,213360.0,12.82,2377.48,46.77,4.37,High Risk,2297.77,-79.71,45.2,2457.9,80.42,48.35,2539.0,161.52,49.95,2703.02,325.54,53.17,High Risk,4.5296,11.3,38.1,0.7937,30.6,0.0,
1984-04,1984-04-01,1984,61000.0,5083.33,267400.0,214200.0,213920.0,13.51,2495.17,49.09,4.38,High Risk,2414.28,-80.89,47.49,2576.72,81.55,50.69,2658.88,163.71,52.31,2824.87,329.7,55.57,High Risk,4.878,11.5,38.2,1.0582,30.6,0.3279,
1984-05,1984-05-01,1984,61000.0,5083.33,267400.0,214900.0,213920.0,14.26,2617.73,51.5,4.38,High Risk,2535.87,-81.86,49.89,2700.18,82.45,53.12,2783.18,165.45,54.75,2950.66,332.93,58.05,High Risk,4.6957,11.7,38.2,1.3263,30.7,0.9868,
1984-06,1984-06-01,1984,61000.0,5083.33,266700.0,214900.0,213360.0,14.53,2655.21,52.23,4.37,High Risk,2573.24,-81.97,50.62,2737.75,82.54,53.86,2820.81,165.6,55.49,2988.35,333.14,58.79,High Risk,4.3029,11.3,38.1,0.7937,30.7,0.3268,
1984-07,1984-07-01,1984,61000.0,5083.33,266700.0,215600.0,213360.0,14.96,2726.16,53.63,4.37,High Risk,2643.7,-82.46,52.01,2809.15,82.99,55.26,2892.63,166.47,56.9,3060.92,334.76,60.21,High Risk,4.1096,11.2,38.1,0.7937,30.8,0.9836,
1984-08,1984-08-01,1984,61000.0,5083.33,266000.0,214900.0,212800.0,14.45,2635.12,51.84,4.36,High Risk,2553.46,-81.66,50.23,2717.35,82.23,53.46,2800.11,164.99,55.08,2967.07,331.95,58.37,High Risk,3.5775,11.3,38.0,0.0,30.7,0.6557,
1984-09,1984-09-01,1984,61000.0,5083.33,265300.0,214900.0,212240.0,13.99,2553.24,50.23,4.35,High Risk,2472.35,-80.89,48.64,2634.73,81.49,51.83,2716.79,163.55,53.45,2882.44,329.2,56.7,High Risk,3.7479,11.8,37.9,-0.2632,30.7,0.6557,
1984-10,1984-10-01,1984,61000.0,5083.33,265300.0,215600.0,212240.0,13.72,2509.48,49.37,4.35,High Risk,2428.94,-80.54,47.78,2590.65,81.17,50.96,2672.41,162.93,52.57,2837.52,328.04,55.82,High Risk,3.3841,11.3,37.9,0.0,30.8,0.9836,
1984-11,1984-11-01,1984,61000.0,5083.33,264600.0,215600.0,211680.0,13.25,2427.34,47.75,4.34,High Risk,2347.64,-79.7,46.18,2507.7,80.36,49.33,2588.69,161.35,50.93,2752.39,325.05,54.15,High Risk,3.8917,11.4,37.8,-0.5263,30.8,0.9836,
1984-12,1984-12-01,1984,61000.0,5083.33,265300.0,215600.0,212240.0,12.74,2352.26,46.27,4.35,High Risk,2273.09,-79.17,44.72,2432.15,79.89,47.85,2512.72,160.46,49.43,2675.69,323.43,52.64,High Risk,3.7162,11.1,37.9,0.0,30.8,0.9836,
1985-01,1985-01-01,1985,61100.0,5091.67,266000.0,216300.0,212800.0,12.44,2310.75,45.38,4.35,High Risk,2231.83,-78.92,43.83,2390.42,79.67,46.95,2470.8,160.05,48.53,2633.49,322.74,51.72,High Risk,3.5235,10.6,38.0,0.0,30.9,1.3115,
1985-02,1985-02-01,1985,61100.0,5091.67,266000.0,217000.0,212800.0,12.57,2331.4,45.79,4.35,High Risk,2252.28,-79.12,44.23,2411.26,79.86,47.36,2491.81,160.41,48.94,2654.81,323.41,52.14,High Risk,3.6728,10.8,38.0,0.0,31.0,1.6393,
1985-03,1985-03-01,1985,61100.0,5091.67,266700.0,217700.0,213360.0,13.43,2475.69,48.62,4.36,High Risk,2395.11,-80.58,47.04,2556.92,81.23,50.22,2638.77,163.08,51.83,2804.15,328.46,55.07,High Risk,3.6667,11.0,38.1,0.0,31.1,1.634,
