year,median_after_tax_income_cad_annual
1976,64400.0
1977,65500.0
1978,65500.0
1979,64800.0
1980,66400.0
1981,64700.0
1982,62700.0
1983,60300.0
1984,61000.0
1985,61100.0
1986,60800.0
1987,60500.0
1988,62100.0
1989,63100.0
1990,60500.0
1991,57300.0
1992,57800.0
1993,56400.0
1994,56800.0
1995,56700.0
1996,55800.0
1997,55600.0
1998,57100.0
1999,59600.0
2000,60000.0
2001,62400.0
2002,62400.0
2003,62300.0
2004,62700.0
2005,64200.0
2006,65600.0
2007,67300.0
2008,68300.0
2009,68100.0
2010,67500.0
2011,67200.0
2012,69100.0
2013,69500.0
2014,71100.0
2015,70900.0
2016,70900.0
2017,72700.0
2018,72700.0
2019,72500.0
2020,77400.0
2021,76800.0
2022,73900.0
2023,75100.0
2024,75500.0
