month,new_housing_price_index_canada_201612_100,new_housing_price_index_toronto_201612_100
1981-01,38.2,28.0
1981-02,38.7,28.5
1981-03,39.3,29.8
1981-04,39.9,31.2
1981-05,40.6,32.3
1981-06,40.8,32.3
1981-07,40.8,32.2
1981-08,40.6,32.5
1981-09,40.4,32.6
1981-10,40.3,32.5
1981-11,40.2,32.5
1981-12,40.3,32.5
1982-01,40.3,32.7
1982-02,40.3,32.4
1982-03,40.1,32.4
1982-04,39.9,32.4
1982-05,39.6,32.3
1982-06,39.3,32.1
1982-07,39.0,32.1
1982-08,38.8,31.6
1982-09,38.4,31.5
1982-10,38.3,31.1
1982-11,38.0,30.9
1982-12,37.9,30.7
1983-01,37.9,30.7
1983-02,37.9,30.6
1983-03,37.8,30.6
1983-04,37.8,30.5
1983-05,37.7,30.4
1983-06,37.8,30.6
1983-07,37.8,30.5
1983-08,38.0,30.5
1983-09,38.0,30.5
1983-10,37.9,30.5
1983-11,38.0,30.5
1983-12,37.9,30.5
1984-01,38.0,30.5
1984-02,38.0,30.5
1984-03,38.1,30.6
1984-04,38.2,30.6
1984-05,38.2,30.7
1984-06,38.1,30.7
1984-07,38.1,30.8
1984-08,38.0,30.7
1984-09,37.9,30.7
1984-10,37.9,30.8
1984-11,37.8,30.8
1984-12,37.9,30.8
1985-01,38.0,30.9
1985-02,38.0,31.0
1985-03,38.1,31.1
1985-04,38.1,31.1
1985-05,38.1,31.1
1985-06,38.3,31.3
1985-07,38.4,31.5
1985-08,38.5,31.7
1985-09,38.8,31.9
1985-10,38.9,32.0
1985-11,39.2,32.3
1985-12,39.3,32.5
1986-01,39.8,33.3
1986-02,40.3,34.1
1986-03,40.6,34.6
1986-04,40.8,34.8
1986-05,41.1,35.3
1986-06,41.3,35.8
1986-07,41.6,36.2
1986-08,42.0,37.1
1986-09,42.8,38.9
1986-10,43.2,39.7
1986-11,43.8,40.6
1986-12,44.0,41.0
1987-01,44.4,41.5
1987-02,45.2,42.8
1987-03,46.6,45.5
1987-04,47.1,46.5
1987-05,47.5,47.0
1987-06,47.7,47.1
1987-07,48.0,47.3
1987-08,48.2,47.3
1987-09,48.7,47.7
1987-10,48.9,48.0
1987-11,49.1,48.1
1987-12,49.1,48.2
1988-01,49.3,48.2
1988-02,49.8,48.9
1988-03,50.3,49.7
1988-04,51.2,51.7
1988-05,51.9,53.1
1988-06,52.3,53.9
1988-07,52.5,54.2
1988-08,53.0,55.0
1988-09,53.9,57.1
1988-10,54.3,57.8
1988-11,55.0,59.2
1988-12,55.8,61.0
1989-01,56.3,61.9
1989-02,57.7,64.1
1989-03,58.6,65.9
1989-04,59.1,66.6
1989-05,59.3,66.7
1989-06,59.6,67.0
1989-07,59.8,67.0
1989-08,59.8,67.0
1989-09,60.1,67.1
1989-10,60.4,67.1
1989-11,60.8,67.3
1989-12,61.1,67.3
1990-01,61.7,67.2
1990-02,61.8,66.9
1990-03,61.9,66.8
1990-04,61.8,66.2
1990-05,61.5,66.0
1990-06,60.8,64.4
1990-07,60.4,63.7
1990-08,59.8,62.8
1990-09,59.0,61.5
1990-10,58.6,60.6
1990-11,58.0,59.3
1990-12,57.8,59.1
1991-01,56.9,56.8
1991-02,55.8,54.0
1991-03,56.0,53.9
1991-04,55.8,53.7
1991-05,56.2,54.3
1991-06,56.2,54.3
1991-07,56.3,54.3
1991-08,56.2,54.0
1991-09,56.2,54.0
1991-10,56.2,53.9
1991-11,55.9,53.1
1991-12,55.9,53.2
1992-01,55.8,53.0
1992-02,55.8,52.1
1992-03,55.9,52.1
1992-04,56.0,52.1
1992-05,56.0,51.9
1992-06,56.2,51.9
1992-07,56.3,51.7
1992-08,56.3,51.6
1992-09,56.2,51.2
1992-10,56.3,51.2
1992-11,56.3,51.1
1992-12,56.3,51.0
1993-01,56.2,51.0
1993-02,56.4,50.6
1993-03,56.7,50.6
1993-04,57.0,50.5
1993-05,56.8,50.1
1993-06,56.9,50.7
1993-07,57.0,50.3
1993-08,57.1,50.5
1993-09,57.1,50.6
1993-10,57.0,50.3
1993-11,57.0,50.2
1993-12,56.9,50.2
1994-01,57.0,50.1
1994-02,56.9,50.0
1994-03,56.9,50.1
1994-04,56.9,50.1
1994-05,56.9,50.1
1994-06,57.0,50.4
1994-07,56.9,50.4
1994-08,57.0,50.5
1994-09,57.0,50.6
1994-10,56.9,50.7
1994-11,56.8,50.5
1994-12,56.8,50.5
1995-01,56.8,50.6
1995-02,56.7,50.9
1995-03,56.6,51.0
1995-04,56.5,50.9
1995-05,56.4,50.8
1995-06,56.3,50.5
1995-07,56.2,50.7
1995-08,56.2,50.7
1995-09,56.2,50.7
1995-10,55.9,50.5
1995-11,55.6,50.3
1995-12,55.7,50.5
1996-01,55.6,50.6
1996-02,55.4,50.1
1996-03,55.3,50.2
1996-04,55.1,50.0
1996-05,55.0,49.9
1996-06,55.1,50.0
1996-07,55.0,50.0
1996-08,55.0,50.0
1996-09,55.0,49.9
1996-10,55.0,50.0
1996-11,55.2,50.1
1996-12,55.2,50.1
1997-01,55.3,50.3
1997-02,55.4,50.4
1997-03,55.5,50.5
1997-04,55.5,50.9
1997-05,55.6,51.1
1997-06,55.6,51.1
1997-07,55.6,51.3
1997-08,55.6,51.3
1997-09,55.6,51.4
1997-10,55.6,51.4
1997-11,55.8,52.0
1997-12,55.9,52.1
1998-01,56.0,52.2
1998-02,56.0,52.3
1998-03,56.0,52.3
1998-04,56.0,52.5
1998-05,56.1,52.7
1998-06,56.2,52.8
1998-07,56.2,52.9
1998-08,56.2,52.9
1998-09,56.2,53.0
1998-10,56.2,53.1
1998-11,56.2,53.3
1998-12,56.3,53.2
1999-01,56.3,53.3
1999-02,56.3,53.4
1999-03,56.4,53.4
1999-04,56.4,53.5
1999-05,56.4,53.5
1999-06,56.4,53.5
1999-07,56.5,53.5
1999-08,56.7,53.6
1999-09,56.8,53.9
1999-10,56.9,54.0
1999-11,57.1,54.4
1999-12,57.2,54.5
2000-01,57.2,54.5
2000-02,57.4,54.8
2000-03,57.5,54.9
2000-04,57.6,55.0
2000-05,57.8,55.1
2000-06,57.8,55.1
2000-07,57.9,55.2
2000-08,58.1,55.3
2000-09,58.2,55.3
2000-10,58.3,55.4
2000-11,58.5,55.7
2000-12,58.6,55.8
2001-01,58.7,55.8
2001-02,58.8,55.9
2001-03,59.0,56.2
2001-04,59.2,56.3
2001-05,59.3,56.3
2001-06,59.5,56.5
2001-07,59.6,56.6
2001-08,59.7,56.7
2001-09,59.9,56.8
2001-10,59.9,56.8
2001-11,60.1,57.0
2001-12,60.2,57.0
2002-01,60.4,57.1
2002-02,60.8,57.6
2002-03,61.0,57.6
2002-04,61.4,57.9
2002-05,61.8,58.3
2002-06,61.9,58.3
2002-07,62.0,58.4
2002-08,62.3,58.7
2002-09,62.4,58.7
2002-10,62.7,59.1
