month,boc_policy_rate_monthly_average_percent,boc_policy_rate_month_end_percent
2009-04,0.25,0.25
2009-05,0.25,0.25
2009-06,0.25,0.25
2009-07,0.25,0.25
2009-08,0.25,0.25
2009-09,0.25,0.25
2009-10,0.25,0.25
2009-11,0.25,0.25
2009-12,0.25,0.25
2010-01,0.25,0.25
2010-02,0.25,0.25
2010-03,0.25,0.25
2010-04,0.25,0.25
2010-05,0.25,0.25
2010-06,0.5,0.5
2010-07,0.6023,0.75
2010-08,0.75,0.75
2010-09,0.9432,1.0
2010-10,1.0,1.0
2010-11,1.0,1.0
2010-12,1.0,1.0
2011-01,1.0,1.0
2011-02,1.0,1.0
2011-03,1.0,1.0
2011-04,1.0,1.0
2011-05,1.0,1.0
2011-06,1.0,1.0
2011-07,1.0,1.0
2011-08,1.0,1.0
2011-09,1.0,1.0
2011-10,1.0,1.0
2011-11,1.0,1.0
2011-12,1.0,1.0
2012-01,1.0,1.0
2012-02,1.0,1.0
2012-03,1.0,1.0
2012-04,1.0,1.0
2012-05,1.0,1.0
2012-06,1.0,1.0
2012-07,1.0,1.0
2012-08,1.0,1.0
2012-09,1.0,1.0
2012-10,1.0,1.0
2012-11,1.0,1.0
2012-12,1.0,1.0
2013-01,1.0,1.0
2013-02,1.0,1.0
2013-03,1.0,1.0
2013-04,1.0,1.0
2013-05,1.0,1.0
2013-06,1.0,1.0
2013-07,1.0,1.0
2013-08,1.0,1.0
2013-09,1.0,1.0
2013-10,1.0,1.0
2013-11,1.0,1.0
2013-12,1.0,1.0
2014-01,1.0,1.0
2014-02,1.0,1.0
2014-03,1.0,1.0
2014-04,1.0,1.0
2014-05,1.0,1.0
2014-06,1.0,1.0
2014-07,1.0,1.0
2014-08,1.0,1.0
2014-09,1.0,1.0
2014-10,1.0,1.0
2014-11,1.0,1.0
2014-12,1.0,1.0
2015-01,0.9091,0.75
2015-02,0.75,0.75
2015-03,0.75,0.75
2015-04,0.75,0.75
2015-05,0.75,0.75
2015-06,0.75,0.75
2015-07,0.6087,0.5
2015-08,0.5,0.5
2015-09,0.5,0.5
2015-10,0.5,0.5
2015-11,0.5,0.5
2015-12,0.5,0.5
2016-01,0.5,0.5
2016-02,0.5,0.5
2016-03,0.5,0.5
2016-04,0.5,0.5
2016-05,0.5,0.5
2016-06,0.5,0.5
2016-07,0.5,0.5
2016-08,0.5,0.5
2016-09,0.5,0.5
2016-10,0.5,0.5
2016-11,0.5,0.5
2016-12,0.5,0.5
2017-01,0.5,0.5
2017-02,0.5,0.5
2017-03,0.5,0.5
2017-04,0.5,0.5
2017-05,0.5,0.5
2017-06,0.5,0.5
2017-07,0.6667,0.75
2017-08,0.75,0.75
2017-09,0.9643,1.0
2017-10,1.0,1.0
2017-11,1.0,1.0
2017-12,1.0,1.0
2018-01,1.1196,1.25
2018-02,1.25,1.25
2018-03,1.25,1.25
2018-04,1.25,1.25
2018-05,1.25,1.25
2018-06,1.25,1.25
2018-07,1.4205,1.5
2018-08,1.5,1.5
2018-09,1.5,1.5
2018-10,1.5652,1.75
2018-11,1.75,1.75
2018-12,1.75,1.75
2019-01,1.75,1.75
2019-02,1.75,1.75
2019-03,1.75,1.75
2019-04,1.75,1.75
2019-05,1.75,1.75
2019-06,1.75,1.75
2019-07,1.75,1.75
2019-08,1.75,1.75
2019-09,1.75,1.75
2019-10,1.75,1.75
2019-11,1.75,1.75
2019-12,1.75,1.75
2020-01,1.75,1.75
2020-02,1.75,1.75
2020-03,0.9545,0.25
2020-04,0.25,0.25
2020-05,0.25,0.25
2020-06,0.25,0.25
2020-07,0.25,0.25
2020-08,0.25,0.25
2020-09,0.25,0.25
2020-10,0.25,0.25
2020-11,0.25,0.25
2020-12,0.25,0.25
2021-01,0.25,0.25
2021-02,0.25,0.25
2021-03,0.25,0.25
2021-04,0.25,0.25
2021-05,0.25,0.25
2021-06,0.25,0.25
2021-07,0.25,0.25
2021-08,0.25,0.25
2021-09,0.25,0.25
2021-10,0.25,0.25
2021-11,0.25,0.25
2021-12,0.25,0.25
2022-01,0.25,0.25
2022-02,0.25,0.25
2022-03,0.4783,0.5
2022-04,0.7857,1.0
2022-05,1.0,1.0
2022-06,1.4773,1.5
2022-07,2.0714,2.5
2022-08,2.5,2.5
2022-09,3.0714,3.25
2022-10,3.3214,3.75
2022-11,3.75,3.75
2022-12,4.131,4.25
2023-01,4.2976,4.5
2023-02,4.5,4.5
2023-03,4.5,4.5
2023-04,4.5,4.5
2023-05,4.5,4.5
2023-06,4.6932,4.75
2023-07,4.9048,5.0
2023-08,5.0,5.0
2023-09,5.0,5.0
2023-10,5.0,5.0
2023-11,5.0,5.0
2023-12,5.0,5.0
2024-01,5.0,5.0
2024-02,5.0,5.0
2024-03,5.0,5.0
2024-04,5.0,5.0
2024-05,5.0,5.0
2024-06,4.7875,4.75
2024-07,4.6957,4.5
2024-08,4.5,4.5
2024-09,4.2857,4.25
2024-10,4.1196,3.75
2024-11,3.75,3.75
2024-12,3.4318,3.25
2025-01,3.2283,3.0
2025-02,3.0,3.0
2025-03,2.8452,2.75
2025-04,2.75,2.75
2025-05,2.75,2.75
2025-06,2.75,2.75
2025-07,2.75,2.75
2025-08,2.75,2.75
2025-09,2.6477,2.5
2025-10,2.4773,2.25
2025-11,2.25,2.25
2025-12,2.25,2.25
2026-01,2.25,2.25
2026-02,2.25,2.25
2026-03,2.25,2.25
2026-04,2.25,2.25
2026-05,2.25,2.25
