month,unemployment_rate_percent
1976-01,7.1
1976-02,7.0
1976-03,6.7
1976-04,6.8
1976-05,6.9
1976-06,6.9
1976-07,7.4
1976-08,7.1
1976-09,7.0
1976-10,7.4
1976-11,7.4
1976-12,7.5
1977-01,7.6
1977-02,7.9
1977-03,7.8
1977-04,7.9
1977-05,7.8
1977-06,7.8
1977-07,8.1
1977-08,8.2
1977-09,8.3
1977-10,8.4
1977-11,8.5
1977-12,8.5
1978-01,8.3
1978-02,8.3
1978-03,8.5
1978-04,8.4
1978-05,8.6
1978-06,8.4
1978-07,8.3
1978-08,8.4
1978-09,8.4
1978-10,8.2
1978-11,8.3
1978-12,8.3
1979-01,8.2
1979-02,8.0
1979-03,7.9
1979-04,8.0
1979-05,7.6
1979-06,7.4
1979-07,7.2
1979-08,7.1
1979-09,7.0
1979-10,7.2
1979-11,7.2
1979-12,7.2
1980-01,7.5
1980-02,7.6
1980-03,7.6
1980-04,7.7
1980-05,7.8
1980-06,7.7
1980-07,7.6
1980-08,7.6
1980-09,7.3
1980-10,7.3
1980-11,7.2
1980-12,7.3
1981-01,7.4
1981-02,7.4
1981-03,7.4
1981-04,7.1
1981-05,7.2
1981-06,7.2
1981-07,7.2
1981-08,7.1
1981-09,8.1
1981-10,8.3
1981-11,8.3
1981-12,8.7
1982-01,8.6
1982-02,8.9
1982-03,9.3
1982-04,9.8
1982-05,10.3
1982-06,11.1
1982-07,11.9
1982-08,12.0
1982-09,12.4
1982-10,12.9
1982-11,12.9
1982-12,13.1
1983-01,12.7
1983-02,12.7
1983-03,12.5
1983-04,12.4
1983-05,12.4
1983-06,12.4
1983-07,11.9
1983-08,11.7
1983-09,11.4
1983-10,11.3
1983-11,11.3
1983-12,11.3
1984-01,11.3
1984-02,11.3
1984-03,11.3
1984-04,11.5
1984-05,11.7
1984-06,11.3
1984-07,11.2
1984-08,11.3
1984-09,11.8
1984-10,11.3
1984-11,11.4
1984-12,11.1
1985-01,10.6
1985-02,10.8
1985-03,11.0
1985-04,10.8
1985-05,10.6
1985-06,10.7
1985-07,10.4
1985-08,10.3
1985-09,10.2
1985-10,10.3
1985-11,10.3
1985-12,10.1
1986-01,9.8
1986-02,9.9
1986-03,9.8
1986-04,9.7
1986-05,9.5
1986-06,9.6
1986-07,9.6
1986-08,9.6
1986-09,9.5
1986-10,9.4
1986-11,9.4
1986-12,9.5
1987-01,9.5
1987-02,9.5
1987-03,9.4
1987-04,9.2
1987-05,8.9
1987-06,8.9
1987-07,8.7
1987-08,8.6
1987-09,8.4
1987-10,8.3
1987-11,8.2
1987-12,8.0
1988-01,8.1
1988-02,7.8
1988-03,7.8
1988-04,7.7
1988-05,7.8
1988-06,7.6
1988-07,7.8
1988-08,7.8
1988-09,7.8
1988-10,7.8
1988-11,7.8
1988-12,7.5
1989-01,7.5
1989-02,7.6
1989-03,7.5
1989-04,7.8
1989-05,7.7
1989-06,7.5
1989-07,7.5
1989-08,7.3
1989-09,7.3
1989-10,7.2
1989-11,7.5
1989-12,7.7
1990-01,7.9
1990-02,7.7
1990-03,7.3
1990-04,7.6
1990-05,7.8
1990-06,7.6
1990-07,7.9
1990-08,8.1
1990-09,8.5
1990-10,8.8
1990-11,9.1
1990-12,9.5
1991-01,9.8
1991-02,10.2
1991-03,10.5
1991-04,10.3
1991-05,10.2
1991-06,10.5
1991-07,10.5
1991-08,10.5
1991-09,10.3
1991-10,10.3
1991-11,10.4
1991-12,10.3
1992-01,10.4
1992-02,10.5
1992-03,10.9
1992-04,10.7
1992-05,10.9
1992-06,11.4
1992-07,11.3
1992-08,11.7
1992-09,11.6
1992-10,11.4
1992-11,12.1
1992-12,11.7
1993-01,11.2
1993-02,11.0
1993-03,11.2
1993-04,11.6
1993-05,11.6
1993-06,11.7
1993-07,11.6
1993-08,11.2
1993-09,11.5
1993-10,11.3
1993-11,11.2
1993-12,11.4
1994-01,11.4
1994-02,11.1
1994-03,10.6
1994-04,10.9
1994-05,10.7
1994-06,10.3
1994-07,10.1
1994-08,10.2
1994-09,10.1
1994-10,10.0
1994-11,9.7
1994-12,9.6
1995-01,9.6
1995-02,9.6
1995-03,9.7
1995-04,9.5
1995-05,9.5
1995-06,9.5
1995-07,9.6
1995-08,9.5
1995-09,9.2
1995-10,9.3
1995-11,9.2
1995-12,9.4
1996-01,9.4
1996-02,9.5
1996-03,9.6
1996-04,9.3
1996-05,9.2
1996-06,9.8
1996-07,9.7
1996-08,9.4
1996-09,9.9
1996-10,9.9
1996-11,9.9
1996-12,9.7
1997-01,9.5
1997-02,9.5
1997-03,9.3
1997-04,9.4
1997-05,9.4
1997-06,9.1
1997-07,8.9
1997-08,8.9
1997-09,8.8
1997-10,8.9
1997-11,8.9
1997-12,8.5
1998-01,8.8
1998-02,8.6
1998-03,8.4
1998-04,8.3
1998-05,8.3
1998-06,8.4
1998-07,8.3
1998-08,8.1
1998-09,8.2
1998-10,8.0
1998-11,8.0
1998-12,8.1
1999-01,7.9
1999-02,7.9
1999-03,7.9
1999-04,8.2
1999-05,7.9
1999-06,7.6
1999-07,7.6
1999-08,7.4
1999-09,7.5
1999-10,7.2
1999-11,6.9
1999-12,6.8
2000-01,6.8
2000-02,6.9
2000-03,6.9
2000-04,6.7
2000-05,6.6
2000-06,6.7
2000-07,6.8
2000-08,7.0
2000-09,6.9
2000-10,7.0
2000-11,6.9
2000-12,6.8
2001-01,6.9
2001-02,7.0
2001-03,7.1
2001-04,7.1
2001-05,7.0
2001-06,7.2
2001-07,7.1
2001-08,7.2
2001-09,7.2
2001-10,7.3
2001-11,7.5
2001-12,8.1
2002-01,8.0
2002-02,7.9
2002-03,7.9
2002-04,7.7
2002-05,7.8
2002-06,7.6
2002-07,7.6
2002-08,7.4
2002-09,7.6
2002-10,7.6
2002-11,7.5
2002-12,7.6
2003-01,7.5
2003-02,7.5
2003-03,7.4
2003-04,7.6
2003-05,7.8
2003-06,7.6
2003-07,7.7
2003-08,7.8
2003-09,7.9
2003-10,7.6
2003-11,7.4
2003-12,7.3
2004-01,7.3
2004-02,7.3
2004-03,7.3
2004-04,7.2
2004-05,7.1
2004-06,7.2
2004-07,7.1
2004-08,7.0
2004-09,6.9
2004-10,7.1
2004-11,7.2
2004-12,7.1
2005-01,6.9
2005-02,7.0
2005-03,6.9
2005-04,6.7
2005-05,7.0
2005-06,6.8
2005-07,6.7
2005-08,6.7
2005-09,6.7
2005-10,6.7
2005-11,6.3
2005-12,6.6
2006-01,6.7
2006-02,6.6
2006-03,6.5
